ind,test_fold
0,1
1,0
2,1
3,1
4,1
5,1
6,0
7,1
8,0
9,2
10,0
11,2
12,0
13,1
14,0
15,0
16,1
17,0
18,0
19,2
20,1
21,0
22,1
23,2
24,2
25,2
26,1
27,2
28,2
29,2
30,1
31,0
32,2
33,2
34,0
35,2
36,2
37,0
38,1
39,1
40,0
41,2
42,2
43,2
44,2
45,0
46,1
47,2
48,0
49,0
50,0
51,1
52,0
53,2
54,1
55,0
56,1
57,2
58,2
59,1
60,1
61,2
62,0
63,1
64,0
65,1
66,0
67,2
68,0
69,1
70,2
71,0
72,2
73,2
74,1
75,0
76,0
77,0
78,0
79,0
80,2
81,1
82,2
83,1
84,2
85,0
86,2
87,2
88,2
89,1
90,0
91,2
92,0
93,1
94,2
95,2
96,1
97,1
98,2
99,2
100,1
101,0
102,1
103,0
104,1
105,1
106,1
107,1
108,1
109,0
110,2
111,2
112,1
113,0
114,1
115,2
116,1
117,2
118,0
119,2
120,1
121,2
122,0
123,2
124,1
125,1
126,1
127,0
128,2
129,2
130,2
131,2
132,0
133,2
134,1
135,1
136,2
137,1
138,2
139,2
140,0
141,1
142,0
143,2
144,0
145,1
146,1
147,2
148,2
149,2
150,1
151,2
152,2
153,1
154,1
155,0
156,0
157,0
158,1
159,0
160,1
161,0
162,0
163,1
164,1
165,0
166,2
167,1
168,2
169,2
170,0
171,1
172,1
173,0
174,2
175,0
176,1
177,2
178,0
179,1
180,2
181,0
182,2
183,2
184,2
185,1
186,1
187,0
188,0
189,2
190,0
191,1
192,2
193,0
194,0
195,1
196,0
197,2
198,1
199,2
200,0
201,2
202,0
203,2
204,0
205,0
206,1
207,2
208,1
209,2
210,0
211,1
212,2
213,1
214,0
215,0
216,2
217,2
218,2
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,2
227,2
228,2
229,1
230,0
231,0
232,2
233,0
234,2
235,0
236,0
237,1
238,1
239,0
240,0
241,1
242,0
243,0
244,2
245,0
246,1
247,0
248,2
249,0
250,0
251,0
252,0
253,1
254,2
255,2
256,2
257,2
258,0
259,2
260,2
261,0
262,1
263,0
264,1
265,2
266,0
267,0
268,0
269,2
270,1
271,0
272,1
273,2
274,2
275,2
276,1
277,2
278,0
279,0
280,2
281,1
282,1
283,0
284,1
285,0
286,2
287,2
288,2
289,1
290,2
291,2
292,2
293,0
294,0
295,2
296,2
297,2
298,1
299,0
300,1
301,0
302,2
303,0
304,1
305,2
306,0
307,2
308,1
309,1
310,0
311,1
312,0
313,0
314,2
315,0
316,0
317,0
318,0
319,0
320,1
321,2
322,1
323,2
324,2
325,0
326,2
327,0
328,2
329,1
330,0
331,1
332,0
333,1
334,0
335,2
336,1
337,1
338,0
339,0
340,1
341,2
342,0
343,1
344,0
345,1
346,0
347,2
348,1
349,2
350,1
351,0
352,0
353,2
354,0
355,0
356,1
357,1
358,1
359,2
360,0
361,1
362,0
363,1
364,2
365,0
366,0
367,1
368,2
369,0
370,2
371,2
372,2
373,2
374,1
375,1
376,2
377,2
378,0
379,1
380,0
381,2
382,2
383,2
384,1
385,1
386,0
387,2
388,2
389,1
390,1
391,1
392,0
393,2
394,2
395,0
396,2
397,0
398,2
399,1
400,1
401,1
402,0
403,0
404,1
405,1
406,0
407,2
408,0
409,1
410,2
411,2
412,1
413,0
414,1
415,1
416,1
417,1
418,2
419,1
420,0
421,2
422,1
423,2
424,1
425,1
426,0
427,0
428,0
429,2
430,2
431,2
432,1
433,1
434,2
435,0
436,1
437,2
438,2
439,1
440,0
441,0
442,2
443,0
444,2
445,2
446,2
447,0
448,2
449,1
450,2
451,0
452,0
453,0
454,0
455,0
456,1
457,1
458,1
459,2
460,1
461,2
462,1
463,1
464,2
465,0
466,1
467,0
468,0
469,2
470,0
471,1
472,2
473,1
474,1
475,1
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,2
484,1
485,1
486,2
487,1
488,2
489,0
490,0
491,0
492,1
493,1
494,0
495,1
496,1
497,0
498,0
499,0
500,0
501,1
502,1
503,0
504,0
505,0
506,0
507,2
508,1
509,2
510,2
511,1
512,2
513,0
514,1
515,2
516,1
517,0
518,0
519,1
520,2
521,0
522,2
523,1
524,0
525,2
526,2
527,0
528,2
529,0
530,1
531,1
532,1
533,0
534,0
535,0
536,2
537,2
538,1
539,0
540,0
541,1
542,0
543,2
544,2
545,1
546,0
547,1
548,2
549,1
550,2
551,2
552,1
553,1
554,2
555,2
556,0
557,0
558,0
559,2
560,2
561,1
562,2
563,1
564,1
565,2
566,1
567,2
568,0
569,0
570,0
571,0
572,2
573,1
574,2
575,1
576,2
577,2
578,2
579,2
580,1
581,2
582,2
583,1
584,2
585,1
586,1
587,2
588,2
589,1
590,1
591,0
592,1
593,0
594,0
595,0
596,1
597,0
598,1
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,0
609,1
610,0
611,2
612,1
613,0
614,1
615,1
616,0
617,2
618,1
619,0
620,1
621,1
622,0
623,1
624,0
625,0
626,1
627,0
628,1
629,2
630,2
631,0
632,1
633,0
634,0
635,0
636,0
637,2
638,1
639,2
640,1
641,2
642,1
643,1
644,2
645,2
646,1
647,0
648,2
649,1
650,1
651,0
652,2
653,0
654,0
655,2
656,1
657,2
658,1
659,0
660,0
661,2
662,0
663,1
664,1
665,0
666,1
667,2
668,1
669,1
670,1
671,1
672,1
673,2
674,1
675,0
676,2
677,1
678,0
679,1
680,0
681,1
682,0
