ind,test_fold
0,2
1,0
2,1
3,2
4,2
5,1
6,1
7,1
8,0
9,1
10,0
11,2
12,2
13,1
14,1
15,2
16,1
17,0
18,2
19,1
20,1
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,0
29,2
30,0
31,1
32,1
33,0
34,0
35,1
36,1
37,2
38,1
39,2
40,0
41,2
42,1
43,2
44,1
45,2
46,0
47,1
48,2
49,0
50,1
51,2
52,2
53,0
54,1
55,0
56,1
57,0
58,2
59,1
60,2
61,1
62,1
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,0
72,1
73,2
74,1
75,0
76,2
77,1
78,0
79,2
80,0
81,2
82,0
83,0
84,0
85,0
86,2
87,2
88,0
89,1
90,2
91,0
92,1
93,0
94,0
95,1
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,2
105,2
106,2
107,2
108,0
109,0
110,0
111,2
112,1
113,2
114,0
115,1
116,2
117,0
118,0
119,0
120,2
121,1
122,1
123,0
124,0
125,2
126,0
127,2
128,2
129,1
130,0
131,0
132,2
133,2
134,0
135,1
136,1
137,1
138,2
139,0
140,1
141,2
142,2
143,2
144,1
145,1
146,1
147,0
148,0
149,1
150,1
151,0
152,1
153,0
154,2
155,0
156,2
157,0
158,1
159,0
160,0
161,2
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,2
170,0
171,1
172,2
173,0
174,1
175,1
176,1
177,0
178,1
179,0
180,0
181,2
182,2
183,2
184,2
185,0
186,1
187,2
188,2
189,0
190,0
191,1
192,1
193,0
194,0
195,1
196,1
197,2
198,0
199,0
200,1
201,1
202,1
203,2
204,1
205,2
206,2
207,2
208,2
209,0
210,2
211,1
212,1
213,0
214,1
215,1
216,0
217,0
218,2
219,2
220,0
221,0
222,2
223,0
224,0
225,2
226,2
227,0
228,2
229,1
230,0
231,1
232,1
233,1
234,2
235,1
236,1
237,1
238,1
239,0
240,2
241,1
242,0
243,2
244,2
245,0
246,2
247,2
248,2
249,2
250,0
251,2
252,0
253,0
254,0
255,1
256,2
257,0
258,1
259,1
260,1
261,2
262,2
263,0
264,0
265,1
266,0
267,1
268,2
269,2
270,0
271,2
272,1
273,1
274,2
275,2
276,1
277,2
278,2
279,2
280,2
281,1
282,1
283,2
284,1
285,2
286,0
287,1
288,0
289,1
290,2
291,2
292,0
293,1
294,2
295,2
296,2
297,0
298,0
299,1
300,1
301,0
302,1
303,0
304,2
305,1
306,0
307,0
308,1
309,0
310,1
311,2
312,2
313,2
314,1
315,1
316,1
317,0
318,0
319,0
320,1
321,0
322,2
323,0
324,0
325,1
326,2
327,1
328,0
329,1
330,2
331,2
332,0
333,0
334,0
335,0
336,1
337,1
338,0
339,1
340,0
341,2
342,0
343,2
344,0
345,2
346,2
347,2
348,2
349,0
350,1
351,0
352,0
353,1
354,0
355,0
356,0
357,0
358,2
359,2
360,1
361,2
362,2
363,0
364,1
365,0
366,2
367,1
368,1
369,0
370,0
371,2
372,1
373,2
374,2
375,2
376,2
377,1
378,1
379,2
380,1
381,1
382,1
383,2
384,0
385,0
386,2
387,0
388,0
389,2
390,0
391,1
392,1
393,2
394,2
395,2
396,2
397,0
398,1
399,0
400,0
401,2
402,1
403,1
404,0
405,0
406,0
407,2
408,2
409,2
410,0
411,1
412,1
413,0
414,2
415,0
416,0
417,2
418,1
419,0
420,1
421,0
422,1
423,1
424,2
425,1
426,2
427,0
428,0
429,1
430,2
431,2
432,0
433,2
434,1
435,1
436,1
437,2
438,1
439,0
440,1
441,1
442,1
443,1
444,2
445,0
446,1
447,0
448,2
449,1
450,0
451,2
452,1
453,1
454,0
455,2
456,2
457,2
458,1
459,1
460,2
461,1
462,0
463,0
464,0
465,1
466,0
467,0
468,1
469,0
470,0
471,2
472,0
473,1
474,2
475,0
476,0
477,0
478,2
479,0
480,1
481,1
482,1
483,0
484,0
485,2
486,2
487,2
488,2
489,1
490,0
491,0
492,2
493,1
494,2
495,1
496,2
497,2
498,2
499,2
500,2
501,0
502,2
503,2
504,0
505,2
506,0
507,1
508,2
509,0
510,1
511,2
512,1
513,1
514,1
515,1
516,0
517,1
518,1
519,1
520,0
521,0
522,2
523,1
524,2
525,2
526,0
527,2
528,1
529,1
530,0
531,0
532,2
533,0
534,0
535,0
536,1
537,0
538,1
539,2
540,2
541,2
542,2
543,1
544,2
545,2
546,0
547,2
548,0
549,0
550,0
551,1
552,1
553,2
554,2
555,1
556,1
557,0
558,2
559,0
560,1
561,1
562,2
563,0
564,2
565,1
566,0
567,2
568,1
