ind,test_fold
0,1
1,2
2,0
3,0
4,2
5,0
6,2
7,1
8,2
9,1
10,1
11,2
12,2
13,2
14,2
15,0
16,1
17,0
18,0
19,1
20,1
21,2
22,0
23,2
24,2
25,2
26,2
27,0
28,0
29,1
30,0
31,2
32,0
33,1
34,0
35,0
36,2
37,2
38,2
39,0
40,1
41,1
42,1
43,0
44,0
45,2
46,2
47,1
48,0
49,0
50,0
51,0
52,2
53,2
54,0
55,2
56,0
57,2
58,0
59,1
60,2
61,0
62,2
63,2
64,0
65,2
66,2
67,2
68,0
69,1
70,0
71,2
72,2
73,0
74,0
75,1
76,1
77,0
78,0
79,1
80,2
81,1
82,0
83,2
84,1
85,2
86,1
87,2
88,2
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,2
98,0
99,1
100,0
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,0
109,2
110,1
111,2
112,0
113,0
114,2
115,1
116,0
117,0
118,0
119,0
120,2
121,1
122,1
123,0
124,1
125,2
126,2
127,1
128,1
129,2
130,0
131,2
132,0
133,0
134,2
135,0
136,2
137,2
138,2
139,2
140,2
141,1
142,2
143,1
144,0
145,0
146,2
147,1
148,1
149,0
150,1
151,2
152,2
153,0
154,2
155,1
156,2
157,1
158,0
159,1
160,0
161,1
162,0
163,2
164,2
165,1
166,0
167,2
168,0
169,1
170,2
171,1
172,1
173,2
174,2
175,2
176,0
177,0
178,0
179,0
180,0
181,1
182,1
183,0
184,1
185,0
186,2
187,2
188,1
189,2
190,0
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,0
201,1
202,2
203,1
204,1
205,0
206,2
207,0
208,1
209,0
210,0
211,2
212,1
213,0
214,2
215,2
216,2
217,1
218,0
219,2
220,1
221,2
222,0
223,0
224,2
225,1
226,0
227,2
228,0
229,1
230,2
231,0
232,2
233,0
234,1
235,2
236,2
237,1
238,0
239,1
240,0
241,2
242,1
243,0
244,0
245,2
246,2
247,1
248,1
249,1
250,2
251,1
252,1
253,0
254,0
255,1
256,0
257,2
258,0
259,1
260,1
261,0
262,2
263,1
264,1
265,1
266,1
267,1
268,2
269,2
270,0
271,1
272,1
273,2
274,0
275,2
276,2
277,1
278,1
279,1
280,2
281,2
282,0
283,0
284,2
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,1
296,0
297,1
298,0
299,0
300,1
301,2
302,2
303,2
304,2
305,2
306,1
307,2
308,1
309,0
310,1
311,2
312,1
313,0
314,0
315,2
316,2
317,1
318,0
319,1
320,1
321,1
322,1
323,2
324,1
325,2
326,1
327,2
328,1
329,2
330,2
331,1
332,0
333,1
334,0
335,2
336,0
337,0
338,0
339,1
340,0
341,1
342,2
343,2
344,0
345,0
346,0
347,0
348,1
349,2
350,1
351,2
352,2
353,1
354,1
355,1
356,1
357,1
358,2
359,2
360,0
361,0
362,1
363,2
364,2
365,2
366,2
367,0
368,2
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,1
377,1
378,0
379,0
380,2
381,2
382,0
383,0
384,2
385,2
386,2
387,0
388,0
389,0
390,1
391,0
392,2
393,1
394,1
395,0
396,0
397,0
398,1
399,1
400,1
401,1
402,0
403,0
404,0
405,2
406,1
407,0
408,0
409,0
410,1
411,2
412,2
413,1
414,1
415,1
416,1
417,2
418,0
419,1
420,1
421,0
422,0
423,1
424,2
425,2
426,0
427,2
428,2
429,2
430,1
431,0
432,2
433,1
434,1
435,0
436,2
437,1
438,1
439,2
440,2
441,0
442,2
443,1
444,2
445,2
446,1
447,1
448,2
449,1
450,2
451,2
452,1
453,0
454,0
455,2
456,0
457,0
458,1
459,1
460,1
461,1
462,1
463,2
464,0
465,0
466,1
467,1
468,0
469,2
470,2
471,2
472,2
473,0
474,1
475,2
476,2
477,0
478,0
479,0
480,0
481,0
482,1
483,0
484,0
485,2
486,1
487,1
488,1
489,2
490,2
491,1
492,0
493,1
494,0
495,2
496,1
497,1
498,2
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,2
507,0
508,1
509,2
510,2
511,0
512,2
513,0
514,0
515,0
516,1
517,1
518,1
519,2
520,0
521,1
522,0
523,2
524,0
525,1
526,2
527,1
528,2
529,1
530,1
531,1
532,2
533,2
534,0
535,1
536,0
537,1
538,1
539,1
540,2
541,1
542,2
543,0
544,1
545,1
546,0
547,1
548,1
549,2
550,0
551,1
552,0
553,1
554,2
555,0
556,1
557,1
558,0
559,1
560,1
561,0
562,0
563,1
564,1
565,2
566,0
567,2
568,0
569,2
570,0
571,2
572,2
573,1
574,0
575,1
576,0
577,2
578,0
579,0
580,2
581,0
582,1
583,1
584,2
585,0
586,0
587,0
588,2
589,1
590,1
591,0
592,2
593,1
594,2
595,1
596,0
597,2
598,2
599,2
600,0
601,2
602,0
603,0
604,0
605,1
606,2
607,1
608,1
609,1
610,1
611,1
612,1
613,0
614,0
615,0
616,2
617,1
618,2
619,0
620,0
621,1
622,0
623,1
624,1
625,2
626,2
627,2
628,0
629,2
630,2
631,2
632,2
633,0
634,0
635,1
636,2
637,2
638,2
639,0
640,1
641,1
642,1
643,0
644,2
645,1
646,1
647,1
648,1
649,1
650,1
651,0
652,1
653,2
654,2
655,1
656,2
657,0
658,1
659,1
660,0
661,2
662,2
663,2
664,1
665,1
666,2
667,2
668,0
669,0
670,2
671,1
672,1
673,0
674,0
675,2
676,0
677,0
678,2
679,0
680,2
681,1
682,0
683,1
684,1
685,0
686,1
687,1
688,1
689,2
690,0
691,2
692,2
693,0
694,2
695,1
696,1
697,1
698,2
699,1
700,1
701,1
702,1
703,0
704,1
705,0
706,0
707,1
708,0
709,2
710,2
711,2
712,2
713,2
714,2
715,0
716,1
717,1
718,2
719,0
720,2
721,2
722,2
723,0
724,1
725,0
726,1
727,1
728,1
729,0
730,0
731,2
732,1
733,2
734,0
735,2
736,1
737,2
738,1
739,1
740,0
741,2
742,2
743,1
744,2
745,2
746,2
747,0
748,1
749,0
750,2
751,0
752,0
753,2
754,0
755,0
756,0
757,2
758,0
759,2
760,2
761,0
762,0
763,0
764,2
765,2
766,0
767,2
768,0
769,0
770,0
771,2
772,0
773,2
774,2
775,2
776,0
777,1
778,1
779,2
780,1
781,2
782,1
783,0
784,1
785,1
786,1
787,1
788,0
789,1
790,2
791,2
792,1
793,2
794,1
795,2
796,2
797,2
798,0
799,1
800,0
801,1
802,2
803,1
804,0
805,0
806,0
807,0
808,1
809,0
810,1
811,1
812,2
813,1
814,1
815,0
816,0
817,0
818,1
819,0
820,2
821,2
822,2
823,1
824,0
825,2
826,2
827,1
828,0
829,1
830,1
831,2
832,1
833,1
834,1
835,2
836,1
837,1
838,0
839,2
840,0
841,0
842,2
843,2
844,2
845,0
846,0
847,2
848,2
849,1
850,1
851,2
852,0
853,2
854,2
855,0
856,2
857,2
858,1
859,1
860,0
861,1
862,1
863,2
864,0
865,2
866,0
867,0
868,1
869,0
870,2
871,2
872,0
873,1
874,2
875,2
876,2
877,0
878,0
879,2
880,0
881,0
882,2
883,0
884,1
885,1
886,2
887,2
888,0
889,2
890,1
891,2
892,0
893,0
894,0
895,0
896,2
897,2
898,0
899,0
900,2
901,2
902,2
903,1
904,2
905,1
906,0
907,1
908,0
909,0
910,2
911,0
912,2
913,0
914,2
915,2
916,2
917,1
918,1
919,1
920,2
921,0
922,0
923,0
924,2
925,2
926,2
927,1
928,0
929,1
930,0
931,2
932,0
933,0
934,0
935,2
936,2
937,1
938,0
939,2
940,2
941,2
942,2
943,0
944,1
945,2
946,1
947,0
948,0
949,1
950,1
951,0
952,0
953,0
954,1
955,0
956,0
957,0
958,2
959,2
960,0
961,0
962,0
