ind,test_fold
0,1
1,0
2,0
3,2
4,0
5,1
6,2
7,1
8,1
9,0
10,1
11,2
12,1
13,2
14,1
15,0
16,0
17,2
18,2
19,1
20,0
21,1
22,1
23,0
24,2
25,1
26,2
27,0
28,0
29,1
30,0
31,1
32,2
33,2
34,0
35,0
36,2
37,1
38,0
39,1
40,2
41,1
42,1
43,0
44,2
45,2
46,0
47,0
48,2
49,2
50,0
51,1
52,1
53,0
54,0
55,1
56,0
57,2
58,2
59,2
60,2
61,0
62,2
63,1
64,2
65,1
66,0
67,1
68,1
69,2
70,1
71,2
72,1
73,0
74,2
75,2
76,1
77,0
78,1
79,0
80,1
81,0
82,0
83,2
84,1
85,1
86,0
87,2
88,2
89,0
90,1
91,0
92,0
93,1
94,2
95,2
96,0
97,2
98,2
99,0
100,0
101,1
102,1
103,2
104,0
105,0
106,2
107,1
108,1
109,1
110,2
111,2
112,1
113,0
114,0
115,2
116,1
117,2
118,1
119,0
120,0
121,2
122,0
123,0
124,2
125,2
126,1
127,1
128,1
129,1
130,0
131,1
132,2
133,1
134,2
135,0
136,1
137,0
138,2
139,0
140,1
141,2
142,0
143,2
144,2
145,0
146,1
147,2
148,2
149,0
