ind,test_fold
0,1
1,1
2,2
3,1
4,0
5,0
6,1
7,2
8,2
9,1
10,0
11,0
12,1
13,2
14,1
15,2
16,2
17,0
18,0
19,1
20,2
21,1
22,1
23,2
24,0
25,2
26,1
27,0
28,0
29,1
30,0
31,2
32,1
33,2
34,0
35,0
36,1
37,0
38,2
39,2
40,2
41,1
42,0
43,0
44,2
45,1
46,0
47,1
48,1
49,1
50,0
51,0
52,1
53,2
54,0
55,0
56,2
57,2
58,2
59,0
60,2
61,0
62,1
63,2
64,1
65,1
66,1
67,2
68,1
69,1
70,0
71,0
72,1
73,0
74,2
75,1
76,1
77,0
78,2
79,2
80,1
81,1
82,2
83,2
84,1
85,0
86,2
87,2
88,0
89,2
90,0
91,0
92,2
93,0
94,1
95,0
96,2
97,2
98,2
99,0
100,1
101,0
102,2
103,2
104,0
105,2
106,0
107,2
108,0
109,0
110,1
111,0
112,1
113,0
114,2
115,1
116,1
117,1
118,2
119,0
120,2
121,1
122,2
123,1
124,0
125,0
126,1
127,0
128,2
129,1
130,1
131,0
132,2
133,0
134,1
135,0
136,2
137,0
138,1
139,2
140,0
141,2
142,0
143,1
144,2
145,2
146,2
147,1
148,2
149,2
150,0
151,0
152,1
153,2
154,2
155,1
156,0
157,1
158,2
159,0
160,1
161,1
162,0
163,0
164,1
165,0
166,2
167,0
168,0
169,1
170,1
171,1
172,2
173,1
174,0
175,1
176,2
177,2
